pollutant,h,fe_type,data_ver,model,train_n,train_n_eff,clean_removed,RMSE,MAE,R2
C6H6(GT),12,hourly,orig,LinReg,6585.0,6585.0,0.0,5.703369365638479,4.627377263140128,0.22610945585346964
C6H6(GT),12,merge,cleaned,LinReg,5840.0,5840.0,161.0,4.486451895197743,3.3052614421892725,0.521124548931827
C6H6(GT),12,merge,orig,LinReg,6001.0,6001.0,0.0,4.611540773859693,3.2599173678806292,0.4940487783869205
C6H6(GT),12,N/A,N/A,Naive,,,,8.438902585906803,6.341437433212242,-0.6942928978682605
C6H6(GT),12,daily,cleaned,RF,252.0,252.0,0.0,3.310035572788825,2.5688592742740526,0.574996655787531
C6H6(GT),12,daily,orig,RF,252.0,252.0,0.0,3.262679864556881,2.5328708126977357,0.5870704617300742
C6H6(GT),12,hourly,cleaned,RF,6409.0,6409.0,176.0,6.033314949984399,4.765052915883715,0.1339787736390322
C6H6(GT),12,hourly,orig,RF,6585.0,6585.0,0.0,6.068192064273419,4.7166279292540265,0.12393732099580468
C6H6(GT),12,merge,cleaned,RF,5840.0,5840.0,161.0,4.699047785907568,3.611865650374589,0.47466508491418513
C6H6(GT),12,merge,orig,RF,6001.0,6001.0,0.0,4.6585104771306165,3.5504791804714992,0.48368981030708114
C6H6(GT),12,daily,cleaned,XGB,252.0,252.0,0.0,3.0733677856485717,2.461822349650845,0.6335994687669096
C6H6(GT),12,daily,orig,XGB,252.0,252.0,0.0,3.332845305898081,2.7343029000271626,0.5691190061637996
C6H6(GT),12,hourly,cleaned,XGB,6409.0,6409.0,176.0,6.141086857850273,4.801729380164696,0.10276331318884702
C6H6(GT),12,hourly,orig,XGB,6585.0,6585.0,0.0,6.038948101742698,4.710695551184809,0.13236085497686778
C6H6(GT),12,merge,cleaned,XGB,5840.0,5840.0,161.0,4.668866757744806,3.6203435477508683,0.4813916522496112
C6H6(GT),12,merge,orig,XGB,6001.0,6001.0,0.0,4.4252802133261575,3.34380577377924,0.534094223745633
C6H6(GT),24,daily,cleaned,LinReg,252.0,252.0,0.0,3.9126347600471076,2.563962920251124,-0.20418300726922456
C6H6(GT),24,daily,orig,LinReg,252.0,252.0,0.0,3.790667719511895,2.6148821310364423,-0.13027809361680887
C6H6(GT),24,hourly,cleaned,LinReg,6409.0,6409.0,176.0,6.602285029832113,5.4784742387609375,-0.032648881405761276
C6H6(GT),24,hourly,orig,LinReg,6585.0,6585.0,0.0,6.218522791162082,5.08648122281367,0.08390903334122357
C6H6(GT),24,merge,cleaned,LinReg,5840.0,5840.0,161.0,6.124740458592429,4.844634357045142,0.11133204585170187
C6H6(GT),24,merge,orig,LinReg,6001.0,6001.0,0.0,5.862276878508913,4.566609380016097,0.18586431126556358
C6H6(GT),24,N/A,N/A,Naive,,,,5.902668597645588,3.9927039391604113,0.17460669614947077
C6H6(GT),24,daily,cleaned,RF,252.0,252.0,0.0,4.739688753834544,3.929550191930422,-0.7670690619403784
C6H6(GT),24,daily,orig,RF,252.0,252.0,0.0,3.889654765847892,3.2823878633255403,-0.1900795413530456
C6H6(GT),24,hourly,cleaned,RF,6409.0,6409.0,176.0,6.5684768455111655,5.299477119481433,-0.02210023134664829
C6H6(GT),24,hourly,orig,RF,6585.0,6585.0,0.0,6.3511477185373995,5.079083375171275,0.04441666375637987
C6H6(GT),24,merge,cleaned,RF,5840.0,5840.0,161.0,6.40372554469068,4.909576861814836,0.02852962651050528
C6H6(GT),24,merge,orig,RF,6001.0,6001.0,0.0,6.4280143664361855,4.912096509696866,0.021146230954785294
C6H6(GT),24,daily,cleaned,XGB,252.0,252.0,0.0,4.22286815695377,3.3069168468791097,-0.4027133214714975
C6H6(GT),24,daily,orig,XGB,252.0,252.0,0.0,3.6566327971624175,3.0148925050056095,-0.051759823521537074
C6H6(GT),24,hourly,cleaned,XGB,6409.0,6409.0,176.0,6.488804997858943,5.062268295751065,0.0025443705684859985
C6H6(GT),24,hourly,orig,XGB,6585.0,6585.0,0.0,6.458074789702538,4.952041412824736,0.011969661349196303
C6H6(GT),24,merge,cleaned,XGB,5840.0,5840.0,161.0,6.282829569357533,4.894409058361323,0.0648641688032463
C6H6(GT),24,merge,orig,XGB,6001.0,6001.0,0.0,6.208849848761722,4.706294977733048,0.08675678466658376
CO(GT),1,daily,cleaned,LinReg,252.0,252.0,0.0,0.5827065901353572,0.4335273559909733,0.48161203974826305
CO(GT),1,daily,orig,LinReg,252.0,252.0,0.0,0.5681554962947609,0.42707200648016475,0.5071786982973383
CO(GT),1,hourly,cleaned,LinReg,6414.0,6414.0,176.0,0.6826586780895755,0.49702520685536605,0.7504807798657402
